 TIME                    	LPT3pin                  	LPT2pin                  	LPT1pin                  	LPT3mout                 	LPT2mout                 	LPT1mout                 	
  +5.5750000000000000E+01	  +3.9070134990428890E-01	  +1.7184075612821146E+00	  +4.4890115760147706E+00	  +2.6338659638322781E+04	  +5.3571746995410795E+04	  +5.7673949039143787E+04	
  +5.5875000000000000E+01	  +3.9075787625364011E-01	  +1.7185315734972826E+00	  +4.4902158344059293E+00	  +2.6344832577112727E+04	  +5.3575596907148953E+04	  +5.7691362792755921E+04	
  +5.6000000000000000E+01	  +3.9072831375239597E-01	  +1.7188927296826699E+00	  +4.4910856058228816E+00	  +2.6341604284293408E+04	  +5.3587047212814374E+04	  +5.7702374948074474E+04	
  +5.6125000000000000E+01	  +3.9176917408238310E-01	  +1.7199386346897996E+00	  +4.4920143126273864E+00	  +2.6454733994753642E+04	  +5.3613866753466878E+04	  +5.7713383743468148E+04	
  +5.6250000000000000E+01	  +3.9363740785462159E-01	  +1.7207570999222181E+00	  +4.4923398906259493E+00	  +2.6657245561785876E+04	  +5.3626756502501536E+04	  +5.7712293578153804E+04	
  +5.6375000000000000E+01	  +3.9532723509930179E-01	  +1.7213645859382145E+00	  +4.4924304833977367E+00	  +2.6839843075056440E+04	  +5.3633997461412720E+04	  +5.7710604949147790E+04	
  +5.6500000000000000E+01	  +3.9704429115145529E-01	  +1.7220155026375259E+00	  +4.4927817359246784E+00	  +2.7024929715601174E+04	  +5.3642412257747681E+04	  +5.7712183503691806E+04	
  +5.6625000000000000E+01	  +3.9784788847686409E-01	  +1.7223641960441063E+00	  +4.4934777567641193E+00	  +2.7111365039816046E+04	  +5.3653884200469205E+04	  +5.7718371323697334E+04	
  +5.6750000000000000E+01	  +3.9784788847686409E-01	  +1.7226141873993670E+00	  +4.4935063333013483E+00	  +2.7111365039816046E+04	  +5.3661546477689139E+04	  +5.7717358680235826E+04	
  +5.6875000000000000E+01	  +3.9796535047409515E-01	  +1.7227824956009739E+00	  +4.4936062893180555E+00	  +2.7124054256196010E+04	  +5.3661546477689139E+04	  +5.7717892194346154E+04	
  +5.7000000000000000E+01	  +3.9801584727050437E-01	  +1.7227748544959387E+00	  +4.4942230250622046E+00	  +2.7129508664388020E+04	  +5.3660402399262297E+04	  +5.7727222805435529E+04	
  +5.7125000000000000E+01	  +3.9937744772758849E-01	  +1.7237651253399884E+00	  +4.4947453468030245E+00	  +2.7268235291298584E+04	  +5.3682238570744979E+04	  +5.7734964456818700E+04	
  +5.7250000000000000E+01	  +4.0222353148025519E-01	  +1.7245948453417914E+00	  +4.4955866627954260E+00	  +2.7558222048401967E+04	  +5.3687772383933807E+04	  +5.7741068381367717E+04	
  +5.7375000000000000E+01	  +4.0475837212902499E-01	  +1.7258084658656214E+00	  +4.4962449072884620E+00	  +2.7813909027638139E+04	  +5.3708212345132888E+04	  +5.7743572951708557E+04	
  +5.7500000000000000E+01	  +4.0753100210328741E-01	  +1.7270055968886568E+00	  +4.4965787732341687E+00	  +2.8094268606678921E+04	  +5.3726158860305433E+04	  +5.7742024716550797E+04	
  +5.7625000000000000E+01	  +4.0883843386367219E-01	  +1.7277256514048425E+00	  +4.4970247991118537E+00	  +2.8225713692964619E+04	  +5.3739703281616115E+04	  +5.7742592380324342E+04	
  +5.7750000000000000E+01	  +4.0786383979824264E-01	  +1.7243242356133073E+00	  +4.4877129103351532E+00	  +2.8121716245629290E+04	  +5.3635227488695309E+04	  +5.7620269335255747E+04	
  +5.7875000000000000E+01	  +4.0797469777204953E-01	  +1.7243242356133073E+00	  +4.4870375504619808E+00	  +2.8133552579662006E+04	  +5.3635227488695309E+04	  +5.7610049403507350E+04	
  +5.8000000000000000E+01	  +4.0819587894303561E-01	  +1.7244282813595293E+00	  +4.4870346419419622E+00	  +2.8157162883887398E+04	  +5.3637791594910719E+04	  +5.7609403259964973E+04	
  +5.8125000000000000E+01	  +4.0887762376545089E-01	  +1.7241699670417228E+00	  +4.4869536600692692E+00	  +2.8229595385790075E+04	  +5.3627555450804786E+04	  +5.7609678706079067E+04	
  +5.8250000000000000E+01	  +4.1024494053700000E-01	  +1.7246352250243586E+00	  +4.4887247409903894E+00	  +2.8374674759989513E+04	  +5.3626863143111892E+04	  +5.7636710819966785E+04	
  +5.8375000000000000E+01	  +4.1188801663279750E-01	  +1.7260579029307592E+00	  +4.4892795198608919E+00	  +2.8548794623021404E+04	  +5.3664022311332992E+04	  +5.7635492699278533E+04	
  +5.8500000000000000E+01	  +4.1318973546647031E-01	  +1.7266361817511198E+00	  +4.4884958182987065E+00	  +2.8686360050366151E+04	  +5.3669664355892448E+04	  +5.7620449770399573E+04	
  +5.8625000000000000E+01	  +4.1385388758900971E-01	  +1.7264402125031668E+00	  +4.4872986554647820E+00	  +2.8756467056528505E+04	  +5.3663202930608983E+04	  +5.7601725505481721E+04	
  +5.8750000000000000E+01	  +4.1385388758900971E-01	  +1.7258986952420066E+00	  +4.4870992418370355E+00	  +2.8756467056528505E+04	  +5.3645135997073048E+04	  +5.7601859617266331E+04	
  +5.8875000000000000E+01	  +4.1383397562013952E-01	  +1.7260513885006281E+00	  +4.4876649617519604E+00	  +2.8754357260533074E+04	  +5.3645135997073048E+04	  +5.7609497988622912E+04	
  +5.9000000000000000E+01	  +4.1367450920827897E-01	  +1.7260928542301266E+00	  +4.4866846461531411E+00	  +2.8737458886670836E+04	  +5.3646660771574287E+04	  +5.7594487850269732E+04	
  +5.9125000000000000E+01	  +4.1405951347536402E-01	  +1.7262676755156667E+00	  +4.4867572010525905E+00	  +2.8780098269747734E+04	  +5.3653685863152925E+04	  +5.7594567640330613E+04	
  +5.9250000000000000E+01	  +4.1486014172872898E-01	  +1.7260118604335120E+00	  +4.4865563714619379E+00	  +2.8868537836011030E+04	  +5.3645371583951899E+04	  +5.7593024641601340E+04	
  +5.9375000000000000E+01	  +4.1543554082925155E-01	  +1.7261078469047970E+00	  +4.4860870214726853E+00	  +2.8933060124103915E+04	  +5.3645371583951899E+04	  +5.7585396590093005E+04	
  +5.9500000000000000E+01	  +4.1611000855805141E-01	  +1.7262709496708641E+00	  +4.4855156871751953E+00	  +2.9007981697259569E+04	  +5.3644410965407340E+04	  +5.7575842396138098E+04	
  +5.9625000000000000E+01	  +4.1642432288144965E-01	  +1.7261386186903120E+00	  +4.4856847479356015E+00	  +2.9042992242349359E+04	  +5.3635482434085738E+04	  +5.7579157038684643E+04	
  +5.9750000000000000E+01	  +4.1642432288144965E-01	  +1.7262249173263742E+00	  +4.4856458761459619E+00	  +2.9042992242349359E+04	  +5.3632970474996306E+04	  +5.7578070956638614E+04	
  +5.9875000000000000E+01	  +4.1634763482691178E-01	  +1.7264092732185869E+00	  +4.4862375339694642E+00	  +2.9034896582421905E+04	  +5.3636551702278128E+04	  +5.7585916784078669E+04	
  +6.0000000000000000E+01	  +4.1629948678682716E-01	  +1.7263534443873456E+00	  +4.4871303050995133E+00	  +2.9029813389392617E+04	  +5.3635320203010822E+04	  +5.7599691969014493E+04	
  +6.0125000000000000E+01	  +4.1719776713626416E-01	  +1.7266664138458279E+00	  +4.4879044154820447E+00	  +2.9112508758024625E+04	  +5.3646027087831237E+04	  +5.7609541170187862E+04	
  +6.0250000000000000E+01	  +4.1900763394266199E-01	  +1.7280900332978593E+00	  +4.4885556263491555E+00	  +2.9279066162617095E+04	  +5.3671392682533493E+04	  +5.7614840103288414E+04	
  +6.0375000000000000E+01	  +4.1990875487233931E-01	  +1.7261225722255571E+00	  +4.4813628966430841E+00	  +2.9349641527894830E+04	  +5.3592532396139926E+04	  +5.7514125814598956E+04	
  +6.0500000000000000E+01	  +4.2181072406528164E-01	  +1.7268197995074921E+00	  +4.4830157138889444E+00	  +2.9525390088515516E+04	  +5.3606951321026951E+04	  +5.7536497918193978E+04	
  +6.0625000000000000E+01	  +4.2157314314676037E-01	  +1.7232074471528296E+00	  +4.4723140157775845E+00	  +2.9488126780183040E+04	  +5.3487526162860602E+04	  +5.7394680816406741E+04	
  +6.0750000000000000E+01	  +4.2165867538091717E-01	  +1.7237179549097645E+00	  +4.4744092304081535E+00	  +2.9497128854639825E+04	  +5.3506461425589740E+04	  +5.7423292634769714E+04	
  +6.0875000000000000E+01	  +4.2170228932445947E-01	  +1.7237388756942427E+00	  +4.4743652895444104E+00	  +2.9501718769061477E+04	  +5.3506461425589740E+04	  +5.7422508971542280E+04	
  +6.1000000000000000E+01	  +4.2188631080812944E-01	  +1.7245697961842628E+00	  +4.4746914338810573E+00	  +2.9521082483848222E+04	  +5.3533543078798255E+04	  +5.7422598924433711E+04	
  +6.1125000000000000E+01	  +4.2247827719347114E-01	  +1.7245611322808081E+00	  +4.4741224976693337E+00	  +2.9578445075330190E+04	  +5.3531771034030025E+04	  +5.7414074486776983E+04	
  +6.1250000000000000E+01	  +4.2316283004557098E-01	  +1.7244781502230806E+00	  +4.4740118698618083E+00	  +2.9640602775719944E+04	  +5.3529443646833890E+04	  +5.7412889209237241E+04	
  +6.1375000000000000E+01	  +4.2390982741115379E-01	  +1.7243833444516001E+00	  +4.4722595280492587E+00	  +2.9709275688985432E+04	  +5.3521115630678418E+04	  +5.7387028565293811E+04	
  +6.1500000000000000E+01	  +4.2324303561964366E-01	  +1.7206714388161197E+00	  +4.4627571406419868E+00	  +2.9629338309189152E+04	  +5.3392333438290880E+04	  +5.7266837575755322E+04	
  +6.1625000000000000E+01	  +4.2385437261740144E-01	  +1.7208682801655915E+00	  +4.4607002427028046E+00	  +2.9688672885808301E+04	  +5.3398834746092434E+04	  +5.7233226811246263E+04	
  +6.1750000000000000E+01	  +4.2385437261740144E-01	  +1.7208877164425507E+00	  +4.4606520929746898E+00	  +2.9688672885808301E+04	  +5.3398834746092434E+04	  +5.7232387971059899E+04	
  +6.1875000000000000E+01	  +4.2389926990021670E-01	  +1.7199618062865660E+00	  +4.4602426056698405E+00	  +2.9693391817528631E+04	  +5.3363922589048576E+04	  +5.7231598761805879E+04	
  +6.2000000000000000E+01	  +4.2351972066138344E-01	  +1.7199476163192851E+00	  +4.4614595999066360E+00	  +2.9653491379245883E+04	  +5.3363088365195872E+04	  +5.7250024392985993E+04	
  +6.2125000000000000E+01	  +4.2351972066138344E-01	  +1.7199322410030891E+00	  +4.4614360859171764E+00	  +2.9653491379245883E+04	  +5.3362731948818531E+04	  +5.7249759324839688E+04	
  +6.2250000000000000E+01	  +4.2347331477137778E-01	  +1.7204030265264572E+00	  +4.4583354861665594E+00	  +2.9649338751928088E+04	  +5.3381219210812545E+04	  +5.7200285658835615E+04	
  +6.2375000000000000E+01	  +4.2338159586758689E-01	  +1.7204484304716838E+00	  +4.4552638728060643E+00	  +2.9641147778338709E+04	  +5.3383096202878216E+04	  +5.7153714908956164E+04	
  +6.2500000000000000E+01	  +4.2346260835427424E-01	  +1.7188928330786848E+00	  +4.4546743620147993E+00	  +2.9651119434530945E+04	  +5.3332460067312379E+04	  +5.7153880260002494E+04	
  +6.2625000000000000E+01	  +4.2281344565483031E-01	  +1.7176040858811563E+00	  +4.4541562467555575E+00	  +2.9585020716459981E+04	  +5.3289230485361128E+04	  +5.7153563813929548E+04	
  +6.2750000000000000E+01	  +4.2246588900310800E-01	  +1.7177514474604811E+00	  +4.4529420204794237E+00	  +2.9548444246132996E+04	  +5.3295069665845993E+04	  +5.7134404663853777E+04	
  +6.2875000000000000E+01	  +4.2246588900310800E-01	  +1.7176209389457537E+00	  +4.4513650400873317E+00	  +2.9548444246132996E+04	  +5.3295069665845993E+04	  +5.7111391982740824E+04	
  +6.3000000000000000E+01	  +4.2257747551702035E-01	  +1.7169315946176311E+00	  +4.4497848239729425E+00	  +2.9560189138793656E+04	  +5.3275126252680289E+04	  +5.7091580651082644E+04	
  +6.3125000000000000E+01	  +4.2179507909532254E-01	  +1.7162724156161173E+00	  +4.4478610545379302E+00	  +2.9476693377788048E+04	  +5.3252446588762701E+04	  +5.7066414970048383E+04	
  +6.3250000000000000E+01	  +4.2014075805972401E-01	  +1.7144613918808604E+00	  +4.4481189390661831E+00	  +2.9299997500972782E+04	  +5.3209862678539110E+04	  +5.7077805771200939E+04	
  +6.3375000000000000E+01	  +4.1918267343469667E-01	  +1.7146143417439588E+00	  +4.4483266410682818E+00	  +2.9196544777634666E+04	  +5.3214913364546475E+04	  +5.7083071337906593E+04	
  +6.3500000000000000E+01	  +4.1812655417577399E-01	  +1.7142054214022366E+00	  +4.4470402858051976E+00	  +2.9082578712395887E+04	  +5.3220211625423777E+04	  +5.7063198014909845E+04	
  +6.3625000000000000E+01	  +4.1778890602513741E-01	  +1.7133418071248645E+00	  +4.4450565089648446E+00	  +2.9045699811894858E+04	  +5.3191702758925545E+04	  +5.7041177471632342E+04	
  +6.3750000000000000E+01	  +4.1748611894733484E-01	  +1.7133571443829454E+00	  +4.4442891261727189E+00	  +2.9013629433581500E+04	  +5.3191408603757736E+04	  +5.7029522404766511E+04	
  +6.3875000000000000E+01	  +4.1748611894733484E-01	  +1.7124876139146146E+00	  +4.4439396002368969E+00	  +2.9013629433581500E+04	  +5.3166224436008859E+04	  +5.7029305713185167E+04	
  +6.4000000000000000E+01	  +4.1752036813796384E-01	  +1.7120715724382343E+00	  +4.4418078607497691E+00	  +2.9017257625215534E+04	  +5.3154928593830322E+04	  +5.6999594042277880E+04	
  +6.4125000000000000E+01	  +4.1602002378059533E-01	  +1.7102215525075031E+00	  +4.4391934179739243E+00	  +2.8862125333124641E+04	  +5.3095162604841680E+04	  +5.6970935891443536E+04	
  +6.4250000000000000E+01	  +4.1468170703050117E-01	  +1.7099972116788675E+00	  +4.4378204736033577E+00	  +2.8727913099571633E+04	  +5.3108973709290243E+04	  +5.6949499204454987E+04	
  +6.4375000000000000E+01	  +4.1331259906352125E-01	  +1.7087558455623195E+00	  +4.4372434997415224E+00	  +2.8590235514709402E+04	  +5.3076162213856805E+04	  +5.6949009023856161E+04	
