 TIME                    	HPT_powerMW              	LPT_powerMW              	P1_powerMW               	P2_powerMW               	P3_powerMW               	Wnet_MW                  	Wgross_MW                	eta_net                  	eta_gross                	eta_CHP                  	m_fuel_h                 	
  +1.5012500000000000E+02	  +1.6608183364776075E+01	  +1.0175909453507835E+01	  +1.3789021135935777E-04	  +1.2828976482802745E-02	  +2.6857322219437940E-01	  +2.3852297456455833E+01	  +2.6784092818283909E+01	  +2.7203829159775417E-01	  +3.0547576666706083E-01	  +7.8890977995385037E-01	  +2.6071507060543110E+04	
  +1.5025000000000000E+02	  +1.6607832714178326E+01	  +1.0180650652217729E+01	  +1.3825823707355831E-04	  +1.2837277459957032E-02	  +2.6865522065047681E-01	  +2.3856167349043695E+01	  +2.6788483366396058E+01	  +2.7206879467040768E-01	  +3.0551053209457818E-01	  +7.8918832740443701E-01	  +2.6072813517717968E+04	
  +1.5037500000000000E+02	  +1.6613150818434193E+01	  +1.0181979319094136E+01	  +1.3825823707355831E-04	  +1.2830570274861234E-02	  +2.6861971881933738E-01	  +2.3862187431177354E+01	  +2.6795130137528329E+01	  +2.7204885860636852E-01	  +3.0548685409282367E-01	  +7.8869191455038057E-01	  +2.6081304097441971E+04	
  +1.5050000000000000E+02	  +1.6610073437634806E+01	  +1.0180929395664622E+01	  +1.3940303488427122E-04	  +1.2840433916874099E-02	  +2.6879755617627754E-01	  +2.3858302896154257E+01	  +2.6791002833299430E+01	  +2.7205996329343740E-01	  +3.0550199983405790E-01	  +7.8905616138154389E-01	  +2.6075993922751099E+04	
  +1.5062500000000000E+02	  +1.6616799619842347E+01	  +1.0180983901707075E+01	  +1.3940303488427122E-04	  +1.2837081679994561E-02	  +2.6870344426116533E-01	  +2.3864493233316040E+01	  +2.6797783521549420E+01	  +2.7204153207368287E-01	  +3.0547935856454034E-01	  +7.8871467246755678E-01	  +2.6084526813669432E+04	
  +1.5075000000000000E+02	  +1.6613203367416546E+01	  +1.0178184877430702E+01	  +1.3997857344230337E-04	  +1.2837151817064102E-02	  +2.6885190833506883E-01	  +2.3858603285509506E+01	  +2.6791388244847248E+01	  +2.7201584439507281E-01	  +3.0545300614326060E-01	  +7.8882135550091315E-01	  +2.6080551614951084E+04	
  +1.5087500000000000E+02	  +1.6616740196904935E+01	  +1.0177869306356964E+01	  +1.4003210365172214E-04	  +1.2838639058318375E-02	  +2.6880715326229848E-01	  +2.3861541310953871E+01	  +2.6794609503261903E+01	  +2.7200156530066788E-01	  +3.0543608359287677E-01	  +7.8874528144632938E-01	  +2.6085132561134971E+04	
  +1.5100000000000000E+02	  +1.6616647006138837E+01	  +1.0181306903478200E+01	  +1.4001683425927190E-04	  +1.2841573660972031E-02	  +2.6886936260714001E-01	  +2.3864492660863206E+01	  +2.6797953909617043E+01	  +2.7203227232326238E-01	  +3.0547091024492334E-01	  +7.8874490506802231E-01	  +2.6085414083359890E+04	
  +1.5112500000000000E+02	  +1.6616386280893192E+01	  +1.0183691833311567E+01	  +1.4028178120991956E-04	  +1.2833691625864559E-02	  +2.6888705230527604E-01	  +2.3866395379643169E+01	  +2.6800078114204759E+01	  +2.7205223156822883E-01	  +3.0549318157157185E-01	  +7.8901042533326582E-01	  +2.6085579954722027E+04	
  +1.5125000000000000E+02	  +1.6618170564617117E+01	  +1.0188257864417926E+01	  +1.4103267232092157E-04	  +1.2841675181793346E-02	  +2.6885028100979763E-01	  +2.3872135896154017E+01	  +2.6806428429035041E+01	  +2.7209838504661049E-01	  +3.0554391597540709E-01	  +7.8889445846163675E-01	  +2.6087428530685302E+04	
