 TIME                    	Pump1flow                	PumpDeaLPflow            	PumpDeaHPflow            	
  +1.2200000000000000E+02	  +3.5549079097080721E+04	  +8.7945511580939929E+04	  +1.0393858774899034E+05	
  +1.2212500000000000E+02	  +3.5491586549716565E+04	  +8.8030883188386084E+04	  +1.0393345027424875E+05	
  +1.2225000000000000E+02	  +3.5350557545119569E+04	  +8.7910990073499459E+04	  +1.0392570954355723E+05	
  +1.2237500000000000E+02	  +3.5323645382069924E+04	  +8.8028693090025554E+04	  +1.0392244542496168E+05	
  +1.2250000000000000E+02	  +3.5187375541398847E+04	  +8.7981899399451606E+04	  +1.0386055278040573E+05	
  +1.2262500000000000E+02	  +3.5177980806397863E+04	  +8.8048773344980116E+04	  +1.0384956429999811E+05	
  +1.2275000000000000E+02	  +3.5083181666588978E+04	  +8.7940430279586712E+04	  +1.0379977188879563E+05	
  +1.2287500000000000E+02	  +3.5083181666588978E+04	  +8.7937160223750034E+04	  +1.0384493328731621E+05	
  +1.2300000000000000E+02	  +3.5094190800932192E+04	  +8.7926776352581845E+04	  +1.0383600098088005E+05	
  +1.2312500000000000E+02	  +3.5103253422074318E+04	  +8.7959542924833688E+04	  +1.0382062496801437E+05	
  +1.2325000000000000E+02	  +3.5084217330466519E+04	  +8.8009797883305073E+04	  +1.0379865089078662E+05	
  +1.2337500000000000E+02	  +3.4962694459540573E+04	  +8.7881699763887431E+04	  +1.0378430721496860E+05	
  +1.2350000000000000E+02	  +3.4962694459540573E+04	  +8.7913317877956317E+04	  +1.0382621212503992E+05	
  +1.2362500000000000E+02	  +3.4885309647754118E+04	  +8.7910659696956194E+04	  +1.0380297920608550E+05	
  +1.2375000000000000E+02	  +3.4929862141405945E+04	  +8.7831953661586667E+04	  +1.0383448688258212E+05	
  +1.2387500000000000E+02	  +3.4929862141405945E+04	  +8.7884390914149757E+04	  +1.0380964435989480E+05	
  +1.2400000000000000E+02	  +3.4933599759744866E+04	  +8.7901327318229960E+04	  +1.0380411735924192E+05	
  +1.2412500000000000E+02	  +3.4868366682942353E+04	  +8.7907240336085859E+04	  +1.0379891504335625E+05	
  +1.2425000000000000E+02	  +3.4868366682942353E+04	  +8.7855556827683147E+04	  +1.0383125299268460E+05	
  +1.2437500000000000E+02	  +3.4840140691647030E+04	  +8.7865618194167328E+04	  +1.0383317361805725E+05	
  +1.2450000000000000E+02	  +3.4847097879345733E+04	  +8.7857197024028937E+04	  +1.0385252368896976E+05	
  +1.2462500000000000E+02	  +3.4827147508595299E+04	  +8.7876705275539149E+04	  +1.0385633039485855E+05	
  +1.2475000000000000E+02	  +3.4843123323671840E+04	  +8.7857376149561445E+04	  +1.0387282649007178E+05	
  +1.2487500000000000E+02	  +3.4820891338525129E+04	  +8.7875955309146855E+04	  +1.0386740771196538E+05	
  +1.2500000000000000E+02	  +3.4818529654359932E+04	  +8.7849274599198325E+04	  +1.0388248271801518E+05	
  +1.2512500000000000E+02	  +3.4814178027840680E+04	  +8.7850720914096935E+04	  +1.0388685736069811E+05	
  +1.2525000000000000E+02	  +3.4846856435867907E+04	  +8.7854061706739434E+04	  +1.0389205218973418E+05	
  +1.2537500000000000E+02	  +3.4835661334116558E+04	  +8.7897529484062296E+04	  +1.0387602836078082E+05	
  +1.2550000000000000E+02	  +3.4845906707001028E+04	  +8.7887666203307163E+04	  +1.0388209261329073E+05	
  +1.2562500000000000E+02	  +3.4841395339628325E+04	  +8.7901082173415183E+04	  +1.0387515555730578E+05	
  +1.2575000000000000E+02	  +3.4856110976855292E+04	  +8.7896733092407987E+04	  +1.0387699086085701E+05	
  +1.2587500000000000E+02	  +3.4848821632593579E+04	  +8.7913777375272213E+04	  +1.0386967986176589E+05	
  +1.2600000000000000E+02	  +3.4862661385362138E+04	  +8.7905849316150721E+04	  +1.0387372033037146E+05	
