 TIME                    	pcond_low                	hcond_low                	hsteam_low               	
  +7.2000000000000000E+01	  +2.4502729738195328E-01	  +2.6849518044546835E+02	  +2.3925011357253538E+03	
  +7.2125000000000000E+01	  +2.4500558887155729E-01	  +2.6848696377913535E+02	  +2.3928274710593128E+03	
  +7.2250000000000000E+01	  +2.4496219328743243E-01	  +2.6847053856024291E+02	  +2.3928101753838455E+03	
  +7.2375000000000000E+01	  +2.4491882627636957E-01	  +2.6845412415624821E+02	  +2.3928545917395081E+03	
  +7.2500000000000000E+01	  +2.4487548782738236E-01	  +2.6843772056299269E+02	  +2.3926992100570096E+03	
  +7.2625000000000000E+01	  +2.4485382931023578E-01	  +2.6842952281909339E+02	  +2.3930459256613185E+03	
  +7.2750000000000000E+01	  +2.4485382931023578E-01	  +2.6842952281909339E+02	  +2.3930459256613185E+03	
  +7.2875000000000000E+01	  +2.4485382931023578E-01	  +2.6842952281909339E+02	  +2.3930186210049260E+03	
  +7.3000000000000000E+01	  +2.4485382931023578E-01	  +2.6842952281909339E+02	  +2.3928085094306025E+03	
  +7.3125000000000000E+01	  +2.4490387926956297E-01	  +2.6844846671751253E+02	  +2.3926986876920978E+03	
  +7.3250000000000000E+01	  +2.4500409353402738E-01	  +2.6848639779421444E+02	  +2.3926189818323710E+03	
  +7.3375000000000000E+01	  +2.4510446037252706E-01	  +2.6852438662015459E+02	  +2.3927012356475657E+03	
  +7.3500000000000000E+01	  +2.4520497992079743E-01	  +2.6856243324670879E+02	  +2.3926931648055229E+03	
  +7.3625000000000000E+01	  +2.4525529700357274E-01	  +2.6858147825129339E+02	  +2.3927068047232246E+03	
  +7.3750000000000000E+01	  +2.4525529700357274E-01	  +2.6858147825129339E+02	  +2.3924698981639021E+03	
  +7.3875000000000000E+01	  +2.4525529700357274E-01	  +2.6858147825129339E+02	  +2.3925296440478110E+03	
  +7.4000000000000000E+01	  +2.4525529700357274E-01	  +2.6858147825129339E+02	  +2.3927390666457532E+03	
  +7.4125000000000000E+01	  +2.4520430360787518E-01	  +2.6856217726241886E+02	  +2.3930787839466070E+03	
  +7.4250000000000000E+01	  +2.4510243453587702E-01	  +2.6852361984143533E+02	  +2.3937914156337506E+03	
  +7.4375000000000000E+01	  +2.4500072230517661E-01	  +2.6848512178484799E+02	  +2.3936299883383640E+03	
  +7.4500000000000000E+01	  +2.4489916677449564E-01	  +2.6844668303918280E+02	  +2.3938007289758366E+03	
  +7.4625000000000000E+01	  +2.4484844772757497E-01	  +2.6842748589125910E+02	  +2.3934931316087977E+03	
  +7.4750000000000000E+01	  +2.4484844772757497E-01	  +2.6842748589125910E+02	  +2.3934931316087977E+03	
