 TIME                    	DeaLPmout                	ColdPHm_c_out            	DeaHPmout                	HotPHm_c_out             	DeaLPTout                	ColdPhT_c_out            	DeaHPTout                	HotPhT_c_out             	
  +1.0375000000000000E+01	  +6.9264177244051287E+04	  +6.9268231282489083E+04	  +8.1176708586732362E+04	  +8.1208471428033459E+04	  +7.0118439506096195E+01	  +1.1824344191765361E+02	  +1.5256972442497630E+02	  +2.0112506223762225E+02	
  +1.0500000000000000E+01	  +6.9568424550799522E+04	  +6.9569756027145835E+04	  +8.1512554226576511E+04	  +8.1575350230523443E+04	  +7.0444488522290072E+01	  +1.1839035501026218E+02	  +1.5272460292396786E+02	  +2.0130782400718951E+02	
  +1.0625000000000000E+01	  +6.9856551601513667E+04	  +6.9813195786317083E+04	  +8.1831844521995197E+04	  +8.1872271743268313E+04	  +7.0588766594044827E+01	  +1.1850858994458044E+02	  +1.5285941896608139E+02	  +2.0143460578840632E+02	
  +1.0750000000000000E+01	  +7.0179399423662937E+04	  +7.0215313102970482E+04	  +8.2291408163081898E+04	  +8.2153228225939063E+04	  +7.0784497655740395E+01	  +1.1863418532060251E+02	  +1.5297589419923833E+02	  +2.0156956336522163E+02	
  +1.0875000000000000E+01	  +7.0473488894699287E+04	  +7.0473488894699287E+04	  +8.2608515724125478E+04	  +8.2492001995890867E+04	  +7.0921232845122148E+01	  +1.1875837361484734E+02	  +1.5311828163162590E+02	  +2.0172593655858446E+02	
  +1.1000000000000000E+01	  +7.0714712597324615E+04	  +7.0708315771576075E+04	  +8.2888342564611579E+04	  +8.2782387741243263E+04	  +7.1052851902552803E+01	  +1.1887189853966203E+02	  +1.5324642598091856E+02	  +2.0186298684778569E+02	
  +1.1125000000000000E+01	  +7.0958067774801952E+04	  +7.0959337319608079E+04	  +8.3191368719072983E+04	  +8.3082535483428102E+04	  +7.1225529935125053E+01	  +1.1898012326797240E+02	  +1.5337269124269258E+02	  +2.0200092487341584E+02	
  +1.1250000000000000E+01	  +7.1085801177037501E+04	  +7.1037287257845048E+04	  +8.3300719939438219E+04	  +8.3363824344057881E+04	  +7.1367996852348853E+01	  +1.1911078539595425E+02	  +1.5350393138135578E+02	  +2.0212848028150097E+02	
  +1.1375000000000000E+01	  +7.1274698574204289E+04	  +7.1274698574204289E+04	  +8.3589678768643382E+04	  +8.3644860640970131E+04	  +7.1568773653866216E+01	  +1.1919670356703482E+02	  +1.5362108237240395E+02	  +2.0225728478464714E+02	
  +1.1500000000000000E+01	  +7.1494647685949210E+04	  +7.1494647685949210E+04	  +8.3856828502090895E+04	  +8.3910188496642746E+04	  +7.1761316322205232E+01	  +1.1927566747288080E+02	  +1.5373504066207511E+02	  +2.0237995658047791E+02	
  +1.1625000000000000E+01	  +7.1734036359442078E+04	  +7.1696240017517906E+04	  +8.4106284380683603E+04	  +8.4164617495938408E+04	  +7.1902192641030254E+01	  +1.1932764575377765E+02	  +1.5384340111170764E+02	  +2.0249860857036680E+02	
  +1.1750000000000000E+01	  +7.1909542269553029E+04	  +7.1909542269553029E+04	  +8.4364222313146485E+04	  +8.4418949809978250E+04	  +7.2014604831960639E+01	  +1.1941874195647988E+02	  +1.5395477772184316E+02	  +2.0261513651346533E+02	
  +1.1875000000000000E+01	  +7.2127431793521158E+04	  +7.2127431793521158E+04	  +8.4625825417097483E+04	  +8.4657214437915420E+04	  +7.2174247806864599E+01	  +1.1948343119117554E+02	  +1.5405578175887274E+02	  +2.0272626542522070E+02	
  +1.2000000000000000E+01	  +7.2363656051003476E+04	  +7.2326188443205727E+04	  +8.4876344028026622E+04	  +8.4920802065489115E+04	  +7.2225132792096744E+01	  +1.1953793638056611E+02	  +1.5416664769274846E+02	  +2.0284476223846480E+02	
  +1.2125000000000000E+01	  +7.2638147806044290E+04	  +7.2639779532121160E+04	  +8.5229768869719715E+04	  +8.5115308965958335E+04	  +7.2394581632307293E+01	  +1.1959350063012120E+02	  +1.5424409399973243E+02	  +2.0293869963052757E+02	
  +1.2250000000000000E+01	  +7.2647386992983738E+04	  +7.2659203117407757E+04	  +8.5274334216692252E+04	  +8.5310547815134967E+04	  +7.2519120386323479E+01	  +1.1966102716529969E+02	  +1.5432961897680696E+02	  +2.0302528555454870E+02	
  +1.2375000000000000E+01	  +7.2837910738534469E+04	  +7.2847000320534920E+04	  +8.5506418559092330E+04	  +8.5540501571140543E+04	  +7.2672409367277723E+01	  +1.1973257061810278E+02	  +1.5442914013249157E+02	  +2.0312861031891896E+02	
  +1.2500000000000000E+01	  +7.3094979887913636E+04	  +7.3096137158528174E+04	  +8.5786731680569821E+04	  +8.5694647151175101E+04	  +7.2796320693918418E+01	  +1.1976879275787090E+02	  +1.5449396720444366E+02	  +2.0320506529966596E+02	
  +1.2625000000000000E+01	  +7.3174681988874974E+04	  +7.3174681988874974E+04	  +8.5885133668512164E+04	  +8.5817948276117357E+04	  +7.2864305721635546E+01	  +1.1979900992406314E+02	  +1.5454306680163157E+02	  +2.0326399487665009E+02	
  +1.2750000000000000E+01	  +7.3355210741107148E+04	  +7.3355210741107148E+04	  +8.6107569810248475E+04	  +8.6015242012464325E+04	  +7.2955344621546658E+01	  +1.1985708641694288E+02	  +1.5462735594831227E+02	  +2.0334920183237134E+02	
  +1.2875000000000000E+01	  +7.3510888415361434E+04	  +7.3504507145165073E+04	  +8.6288169571559847E+04	  +8.6182084536169772E+04	  +7.3037994028377014E+01	  +1.1990691891903710E+02	  +1.5470057230036431E+02	  +2.0342626535949449E+02	
  +1.3000000000000000E+01	  +7.3601742302553452E+04	  +7.3601742302553452E+04	  +8.6410775816549722E+04	  +8.6343617450638674E+04	  +7.3091055899173341E+01	  +1.1994894993765965E+02	  +1.5476978971824994E+02	  +2.0350391325543148E+02	
  +1.3125000000000000E+01	  +7.3760715787224239E+04	  +7.3760715787224239E+04	  +8.6606498155150781E+04	  +8.6524892963007122E+04	  +7.3176536737275043E+01	  +1.1999483796629225E+02	  +1.5484487380956202E+02	  +2.0358396714840049E+02	
