 TIME                    	pinLPT3_condhigh         	pcond_high_bar           	h_condhigh               	h_steamhigh              	
  +9.3375000000000000E+01	  +4.8893531444354366E-01	  +4.0408102783576272E-01	  +3.3819123314058106E+02	  +2.4866378291495739E+03	
  +9.3500000000000000E+01	  +5.0557984306131509E-01	  +4.0531115325903910E-01	  +3.4176507864364527E+02	  +2.4940264508257760E+03	
  +9.3625000000000000E+01	  +5.0972500667627330E-01	  +4.0592740071126987E-01	  +3.4244603808856095E+02	  +2.4973738207185497E+03	
  +9.3750000000000000E+01	  +5.0514966955137386E-01	  +4.0592740071126987E-01	  +3.4155979582598496E+02	  +2.4971832807678106E+03	
  +9.3875000000000000E+01	  +5.0360617166739796E-01	  +4.0592740071126987E-01	  +3.4111781009564254E+02	  +2.4975837113008806E+03	
  +9.4000000000000000E+01	  +5.0084212302185804E-01	  +4.0592740071126987E-01	  +3.4054892300897882E+02	  +2.4976711698315876E+03	
  +9.4125000000000000E+01	  +4.9838417008203223E-01	  +4.0647028527180673E-01	  +3.4001153035277497E+02	  +2.4984841155876798E+03	
  +9.4250000000000000E+01	  +4.9544505216274048E-01	  +4.0755789321379743E-01	  +3.3932785666967033E+02	  +2.4975804382496476E+03	
  +9.4375000000000000E+01	  +4.9259775012190360E-01	  +4.0864795631406836E-01	  +3.3868592666247639E+02	  +2.4974632645457850E+03	
  +9.4500000000000000E+01	  +4.8983159497439593E-01	  +4.0974047865265095E-01	  +3.3806001980645868E+02	  +2.4973335005929148E+03	
  +9.4625000000000000E+01	  +4.8748788201612114E-01	  +4.1028766331243105E-01	  +3.3753238444024981E+02	  +2.4980379063903656E+03	
  +9.4750000000000000E+01	  +4.8582988993095599E-01	  +4.1028766331243105E-01	  +3.3713425460747067E+02	  +2.4973965552317909E+03	
  +9.4875000000000000E+01	  +4.8402796590356723E-01	  +4.1028766331243105E-01	  +3.3670733419229759E+02	  +2.4974990820318153E+03	
  +9.5000000000000000E+01	  +4.8233986642812476E-01	  +4.1028766331243105E-01	  +3.3633352838506727E+02	  +2.4976138794853700E+03	
  +9.5125000000000000E+01	  +4.8045731259771096E-01	  +4.1039699109603300E-01	  +3.3590263276616116E+02	  +2.4976474186148375E+03	
  +9.5250000000000000E+01	  +4.7841698116967063E-01	  +4.1061572039340016E-01	  +3.3544279988705495E+02	  +2.4976156843945910E+03	
  +9.5375000000000000E+01	  +4.7642686987619892E-01	  +4.1083454802477515E-01	  +3.3499403651189482E+02	  +2.4975784962724397E+03	
  +9.5500000000000000E+01	  +4.7449781336466823E-01	  +4.1105347402271297E-01	  +3.3455912586009629E+02	  +2.4975386704750454E+03	
  +9.5625000000000000E+01	  +4.7281901444537650E-01	  +4.1116297391931783E-01	  +3.3418280552990723E+02	  +2.4975176211770026E+03	
  +9.5750000000000000E+01	  +4.7145810557596873E-01	  +4.1116297391931783E-01	  +3.3388349473046992E+02	  +2.4976108223663064E+03	
  +9.5875000000000000E+01	  +4.7015019184096080E-01	  +4.1116297391931783E-01	  +3.3358770344559952E+02	  +2.4977069352887270E+03	
  +9.6000000000000000E+01	  +4.6888411833096394E-01	  +4.1116297391931783E-01	  +3.3330285430152333E+02	  +2.4978012079306754E+03	
  +9.6125000000000000E+01	  +4.6893286948985297E-01	  +4.1072750163837196E-01	  +3.3330630847573332E+02	  +2.4982642692797708E+03	
  +9.6250000000000000E+01	  +4.6985480320119477E-01	  +4.0985772422831501E-01	  +3.3347501817719831E+02	  +2.4990864177774483E+03	
  +9.6375000000000000E+01	  +4.7036171546880706E-01	  +4.0898950131347123E-01	  +3.3361388429981412E+02	  +2.5006623023023053E+03	
  +9.6500000000000000E+01	  +4.7130418725396933E-01	  +4.0812283084657763E-01	  +3.3380349692519724E+02	  +2.5008774284573974E+03	
  +9.6625000000000000E+01	  +4.7061452934830489E-01	  +4.0769007714178507E-01	  +3.3368082045764214E+02	  +2.5020648583946750E+03	
  +9.6750000000000000E+01	  +4.6884889170735655E-01	  +4.0769007714178507E-01	  +3.3342559083212348E+02	  +2.5031794633916215E+03	
  +9.6875000000000000E+01	  +4.6814695721811062E-01	  +4.0769007714178507E-01	  +3.3344349553899008E+02	  +2.5027967678382038E+03	
  +9.7000000000000000E+01	  +4.6678819800176186E-01	  +4.0769007714178507E-01	  +3.3295348618875346E+02	  +2.5036148500367663E+03	
