 TIME                    	Wgross_MW                	Wnet_MW                  	Qboiler_MW               	Q_LHV_MW                 	eta_gross                	eta_net                  	eta_CHP                  	
  +9.8000000000000000E+01	  +1.3345686840651231E+01	  +1.1942011160778316E+01	  +4.0341203958600360E+01	  +4.8603860191084770E+01	  +2.7458080054100686E-01	  +2.4570087877441463E-01	  +7.9330952015609690E-01	
  +9.8125000000000000E+01	  +1.3310541138115198E+01	  +1.1910718425339006E+01	  +4.0251992425257704E+01	  +4.8496376415973131E+01	  +2.7446465327523190E-01	  +2.4560017274643228E-01	  +7.9333220955149564E-01	
  +9.8250000000000000E+01	  +1.3282259705492436E+01	  +1.1885599927133175E+01	  +4.0163519055737893E+01	  +4.8389781994864926E+01	  +2.7448480150007570E-01	  +2.4562210113685701E-01	  +7.9348348698123394E-01	
  +9.8375000000000000E+01	  +1.3249024116817955E+01	  +1.1856009092962998E+01	  +4.0078357529463403E+01	  +4.8287177746341449E+01	  +2.7437975742580623E-01	  +2.4553120820695068E-01	  +7.9341452353162745E-01	
  +9.8500000000000000E+01	  +1.3214602203574014E+01	  +1.1825325456068642E+01	  +3.9999984357379113E+01	  +4.8192752237806154E+01	  +2.7420310295554046E-01	  +2.4537559917136118E-01	  +7.9336475180792743E-01	
  +9.8625000000000000E+01	  +1.3183531760644970E+01	  +1.1797663595938612E+01	  +3.9918766017152819E+01	  +4.8094898815846769E+01	  +2.7411497030327742E-01	  +2.4529968637861871E-01	  +7.9343549382552414E-01	
  +9.8750000000000000E+01	  +1.3151284194171263E+01	  +1.1768926604926518E+01	  +3.9842518931601951E+01	  +4.8003034857351743E+01	  +2.7396776543925372E-01	  +2.4517046974008327E-01	  +7.9343196660448478E-01	
  +9.8875000000000000E+01	  +1.3123695028488807E+01	  +1.1744369683881459E+01	  +3.9769194301670467E+01	  +4.7914691929723453E+01	  +2.7389709711036753E-01	  +2.4510999050368398E-01	  +7.9348242917436884E-01	
  +9.9000000000000000E+01	  +1.3096510688200736E+01	  +1.1720166048934322E+01	  +3.9698719946529955E+01	  +4.7829783068108377E+01	  +2.7381497151161321E-01	  +2.4503908019497200E-01	  +7.9348995902325847E-01	
  +9.9125000000000000E+01	  +1.3070676729262237E+01	  +1.1697164415358499E+01	  +3.9631753405818174E+01	  +4.7749100488937557E+01	  +2.7373660645796738E-01	  +2.4497140879268461E-01	  +7.9350292713459802E-01	
  +9.9250000000000000E+01	  +1.3044424501449351E+01	  +1.1673789064665256E+01	  +3.9563463176878308E+01	  +4.7666823104672659E+01	  +2.7365835715136300E-01	  +2.4490386193832378E-01	  +7.9351072303863079E-01	
  +9.9375000000000000E+01	  +1.3018394810397394E+01	  +1.1650609270947930E+01	  +3.9496471310770247E+01	  +4.7586110012976199E+01	  +2.7357552039549826E-01	  +2.4483214256788249E-01	  +7.9352439718447898E-01	
  +9.9500000000000000E+01	  +1.2993004911549978E+01	  +1.1627998243001139E+01	  +3.9431327792990530E+01	  +4.7507623846976536E+01	  +2.7349304931353402E-01	  +2.4476067842195742E-01	  +7.9353501953310990E-01	
  +9.9625000000000000E+01	  +1.2968339622652538E+01	  +1.1606032003258447E+01	  +3.9368067680846856E+01	  +4.7431406844393798E+01	  +2.7341250208321288E-01	  +2.4469086572392557E-01	  +7.9354942715821186E-01	
  +9.9750000000000000E+01	  +1.2945511861350747E+01	  +1.1585702561457191E+01	  +3.9309593357634597E+01	  +4.7360955852571799E+01	  +2.7333721687645751E-01	  +2.4462560674497164E-01	  +7.9356653014538836E-01	
  +9.9875000000000000E+01	  +1.2924260971412837E+01	  +1.1566778970702984E+01	  +3.9254592346215276E+01	  +4.7294689573753338E+01	  +2.7327087011023082E-01	  +2.4456823958354268E-01	  +7.9357875828948854E-01	
  +1.0000000000000000E+02	  +1.2903731874435541E+01	  +1.1548498369462434E+01	  +3.9201130748972126E+01	  +4.7230278010809783E+01	  +2.7320889094665529E-01	  +2.4451472351738610E-01	  +7.9359107003999385E-01	
  +1.0012500000000000E+02	  +1.2885988333815542E+01	  +1.1532713430209325E+01	  +3.9149899702675839E+01	  +4.7168553858645588E+01	  +2.7319023543592597E-01	  +2.4450004265067116E-01	  +7.9397763153523715E-01	
  +1.0025000000000000E+02	  +1.2862703079206241E+01	  +1.1511983856238102E+01	  +3.9086900589243399E+01	  +4.7092651312341438E+01	  +2.7313609917382903E-01	  +2.4445393358477543E-01	  +7.9364009873210961E-01	
  +1.0037500000000000E+02	  +1.2864678794309809E+01	  +1.1513817312351247E+01	  +3.9091369075314240E+01	  +4.7098035030499084E+01	  +2.7314682631619513E-01	  +2.4446491886328783E-01	  +7.9357633959343954E-01	
  +1.0050000000000000E+02	  +1.2824850106823481E+01	  +1.1478266652873959E+01	  +3.8986632336155822E+01	  +4.6971846188139537E+01	  +2.7303270251408118E-01	  +2.4436481817000072E-01	  +7.9352746191807599E-01	
  +1.0062500000000000E+02	  +1.2830385702519532E+01	  +1.1483287645177407E+01	  +3.8993664892487914E+01	  +4.6980319147575798E+01	  +2.7310128869530220E-01	  +2.4442762104501262E-01	  +7.9362646003075032E-01	
  +1.0075000000000000E+02	  +1.2792447929490926E+01	  +1.1449406986053596E+01	  +3.8903805683781059E+01	  +4.6872055040700069E+01	  +2.7292270241582012E-01	  +2.4426936212017622E-01	  +7.9365015963944785E-01	
  +1.0087500000000000E+02	  +1.2793213374582626E+01	  +1.1450141171785390E+01	  +3.8910017306235467E+01	  +4.6879538923175261E+01	  +2.7289546075842913E-01	  +2.4424602790034960E-01	  +7.9353912188376741E-01	
  +1.0100000000000000E+02	  +1.2761366318117616E+01	  +1.1421726541819639E+01	  +3.8822849995342821E+01	  +4.6774518066678091E+01	  +2.7282731806933880E-01	  +2.4418694224786497E-01	  +7.9366357815463628E-01	
